task_description,task_category,task_required_skill,employer_id,employer_skill,match
"THIS TASK INVOLVES IMPROVING A MOBILE DEVELOPMENT APP. SKILLS NEEDED:  SWIFT , J@V@, REACT NATIVE.",Mobile Development," Swift , J@v@, REACT NATIVE",2e4fce86-3c0d-f364-9cd1-6878e9c2d7ed,"FIREWALLS, blender, j@v@Script,  PENETRATION TESTING",0
"This task involves improving a data science app. Skills needed:  python , NumPy,  pandas ,  scikit-learn .",DATA SCIENCE," python , NumPy,  pandas ,  scikit-learn ",2577f6ff-1a76-af66-535a-535bf72cd842,"JAVASCRIPT,  p3n3tr@tion t3sting, UNREAL ENGINE",0
" This t@sk involv3s d3signing @ d3vops @pp. Skills n33d3d:  CI/CD , kub3rn3t3s, DOCKER. ",D3vOps," CI/CD , kubernetes, DOCKER",010ba2a1-87f9-5f54-d035-da413c92c28b,"EncryptioN,  NumPy ,  Java , javaScript",0
"This t@sk involves developing @ web development @pp. Skills needed: node.Js, Css.",WEB DEVELOPMENT,"node.Js, Css",4ec14042-ba85-b4d4-f04e-294c269bceb7,"  penetration testing , docker,  node.Js , CSS,   kotlin ",1
"THIS T@SK INVOLV3S T3STING @ W3B D3V3LOPM3NT @PP. SKILLS N33D3D: R3@CT, HTML, CSS.",WEB DEVELOPMENT,"react, html, Css",bd0b43f8-467d-ad7a-0041-5adedd691ea7,"nod3.Js, kub3rn3t3s, CI/CD,  T3RR@FORM",0
" This t@sk involves designing @ mobile development @pp. Skills needed:  re@ct n@tive ,   kotlin ,  SWIFT . ",Mobile Development," react native ,   kotlin ,  SWIFT ",d21f37d8-46ed-439f-885a-2086be7310b4,"SWIFT,  terraform, python",0
"This task involv3s improving a cyb3rs3curity app. Skills n33d3d: fir3walls, SIEM, ENCRYPTION, n3tworking.", Cybersecurity ,"firewalls, SIEM, ENCRYPTION, networking",61cc613c-1e3c-4e24-418e-02aac062822b,"firew@lls, react native,  C# ",0
"THIS TASK INVOLVES DEVELOPING A GAME DEVELOPMENT APP. SKILLS NEEDED: C#, C++, UNR3AL ENGIN3.",GAME DEVELOPMENT,"C#, C++, Unr3al Engin3",03d8ed0d-a842-0212-16ca-4eadf9a48d09,"@ws , c++,  kotlin, C#, Swift",1
"This t@sk involves testing @ mobile development @pp. Skills needed: J@v@, Flutter .",Mobil3 D3v3lopm3nt,"J@v@, Flutter ",1f97e4de-de5c-26d8-9cbb-6367a3e424ca,"SWIFT, Flutter ,  Unity ",0
"THIS TASK INVOLVES IMPROVING A WEB DEVELOPMENT APP. SKILLS NEEDED: HTML, CSS, J@V@SCRIPT, RE@CT.",Web Development,"html, CSS, j@v@Script, re@ct",f14178f7-3812-11fd-e739-9e9af554336b,"Flutter ,  EncryptioN ,  python , kubernetes, Swift",0
